Date,Open,High,Low,Close,Adj Close,Volume
1/20/2016,1.72,1.75,1.66,1.73,1.648178,673600
1/21/2016,1.72,1.77,1.71,1.71,1.636235,478400
1/22/2016,1.74,1.75,1.59,1.59,1.522773,539200
1/26/2016,1.59,1.65,1.59,1.6,1.529939,844000
1/27/2016,1.62,1.65,1.61,1.62,1.550243,401600
1/28/2016,1.62,1.66,1.61,1.61,1.534717,282400
1/29/2016,1.64,1.82,1.61,1.77,1.68998,1167200
2/1/2016,1.77,1.82,1.74,1.82,1.737753,616000
2/2/2016,1.81,1.89,1.75,1.75,1.672065,791200
2/3/2016,1.78,1.81,1.73,1.81,1.731781,494400
2/4/2016,1.84,1.91,1.8,1.82,1.737753,554400
2/5/2016,1.82,1.86,1.72,1.73,1.650567,672000
2/10/2016,1.73,1.73,1.66,1.68,1.605182,324000
2/11/2016,1.66,1.66,1.58,1.58,1.512024,582400
2/12/2016,1.59,1.9,1.59,1.9,1.818968,1948000
2/15/2016,1.93,2.22,1.93,2.17,2.072166,1875200
2/16/2016,2.21,2.39,2.18,2.38,2.272814,2420800
2/17/2016,2.38,2.46,2.12,2.12,2.024393,2692000
2/18/2016,2.12,2.25,2.04,2.23,2.129494,2058400
2/19/2016,2.23,2.31,2.21,2.25,2.149798,1136000
2/22/2016,2.3,2.33,2.24,2.28,2.18085,553600
2/23/2016,2.29,2.37,2.24,2.37,2.268037,1005600
2/24/2016,2.32,2.42,2.29,2.38,2.269231,995200
2/25/2016,2.34,2.41,2.34,2.34,2.23579,655200
2/26/2016,2.38,2.43,2.36,2.38,2.269231,762400
2/29/2016,2.38,2.67,2.38,2.46,2.352834,1591200
3/1/2016,2.49,2.69,2.43,2.6,2.484211,2339200
3/2/2016,2.64,2.79,2.63,2.76,2.640668,1904800
3/3/2016,2.81,3.2,2.78,3.15,3.004939,2250400
3/4/2016,3.25,3.38,3.06,3.16,3.02166,1708800
3/7/2016,3.16,3.28,3.16,3.16,3.019272,973600
3/8/2016,3.13,3.16,3.07,3.12,2.984636,822400
3/9/2016,3.13,3.41,3.13,3.34,3.188867,1865600
3/10/2016,3.4,3.42,3.3,3.39,3.242611,704800
3/11/2016,3.38,3.43,3.37,3.38,3.225891,561600
3/14/2016,3.39,3.53,3.35,3.5,3.34413,1592800
3/15/2016,3.44,3.56,3.41,3.45,3.299939,1272800
3/16/2016,3.46,3.61,3.46,3.57,3.411012,1248000
3/17/2016,3.63,3.75,3.56,3.58,3.416984,1451200
3/18/2016,3.56,3.56,3.34,3.44,3.284413,2010400
3/21/2016,3.41,3.73,3.41,3.73,3.566276,2679200
3/22/2016,3.75,3.87,3.74,3.84,3.6666,2600800
3/23/2016,3.88,3.95,3.76,3.95,3.774089,1961600
3/24/2016,3.9,4.02,3.85,3.95,3.774089,1812800
3/28/2016,3.99,4.04,3.66,3.73,3.561498,2328800
3/29/2016,3.74,3.86,3.55,3.78,3.609272,1339200
3/30/2016,3.75,3.84,3.72,3.8,3.630769,1707200
3/31/2016,3.78,3.81,3.66,3.66,3.493421,920000
4/1/2016,3.71,3.71,3.71,3.71,3.543583,1600
4/4/2016,3.7,3.78,3.51,3.61,3.450425,1087200
4/5/2016,3.58,3.59,3.52,3.54,3.381154,1340000
4/6/2016,3.5,3.53,3.34,3.44,3.284413,2128000
4/7/2016,3.44,3.53,3.41,3.41,3.254555,761600
4/8/2016,3.49,3.6,3.36,3.55,3.391903,1513600
4/11/2016,3.59,3.59,3.59,3.59,3.426539,12000
4/12/2016,3.64,3.64,3.64,3.64,3.473118,8800
4/13/2016,3.57,3.57,3.57,3.57,3.408624,4800
4/14/2016,3.6,3.63,3.54,3.58,3.41579,920800
4/15/2016,3.62,3.63,3.56,3.56,3.403846,1395200
4/18/2016,3.58,3.62,3.56,3.59,3.427733,1106400
4/19/2016,3.59,3.63,3.57,3.6,3.434899,456000
4/20/2016,3.62,3.64,3.5,3.63,3.469535,1824800
4/22/2016,3.59,3.62,3.57,3.61,3.444453,719200
4/25/2016,3.56,3.63,3.56,3.58,3.419373,1364000
4/26/2016,3.61,3.64,3.53,3.63,3.463563,1048000
4/27/2016,3.61,4.32,3.61,4.32,4.127612,2536800
4/28/2016,4.37,4.38,4.05,4.05,3.868441,696000
4/29/2016,4.05,4.17,4,4,3.825445,1196000
5/2/2016,4.05,4.38,4.01,4.36,4.168219,883200
5/3/2016,4.32,4.59,4.21,4.31,4.119252,1647200
5/4/2016,4.38,4.38,4.01,4.01,3.827834,1963200
5/5/2016,4.02,4.13,3.56,3.56,3.403846,1380800
5/6/2016,4.13,4.53,4.13,4.25,4.060729,3517600
5/9/2016,4.24,4.41,4.18,4.38,4.186134,1144800
5/10/2016,4.39,4.44,4.33,4.38,4.180162,508800
5/11/2016,4.38,4.43,4.35,4.41,4.215992,429600
5/12/2016,4.42,4.42,4.31,4.31,4.120445,2336800
5/13/2016,4.25,4.32,4.19,4.2,4.016539,684800
5/16/2016,4.12,4.3,4.12,4.26,4.070284,644800
5/17/2016,4.25,4.33,4.18,4.28,4.08581,871200
5/18/2016,4.28,4.39,4.24,4.35,4.159859,443200
5/19/2016,4.35,4.39,4.28,4.31,4.119252,438400
5/20/2016,4.29,4.38,4.27,4.38,4.180162,838400
5/23/2016,4.38,4.38,4.2,4.22,4.03087,447200
5/24/2016,4.26,4.35,4.16,4.32,4.127612,693600
5/25/2016,4.35,4.4,4.25,4.25,4.060729,303200
5/27/2016,4.22,4.3,4.2,4.2,4.012956,562400
5/30/2016,4.2,4.31,4.14,4.31,4.116863,772000
5/31/2016,4.27,4.35,4.25,4.35,4.151498,216000
6/1/2016,4.31,4.34,4.23,4.23,4.040426,1069600
6/2/2016,4.24,4.33,4.22,4.33,4.135972,1135200
6/3/2016,4.31,4.37,4.22,4.37,4.178968,2354400
6/6/2016,4.34,4.67,4.33,4.66,4.454859,1896800
6/7/2016,4.65,4.76,4.61,4.76,4.544433,1794400
6/8/2016,4.81,4.84,4.68,4.76,4.544433,1560000
6/9/2016,4.76,4.76,4.53,4.71,4.501438,734400
6/10/2016,4.69,4.69,4.51,4.6,4.393948,1418400
6/13/2016,4.58,4.59,4.38,4.39,4.190911,1931200
6/14/2016,4.39,4.4,4.2,4.35,4.159859,3045600
6/15/2016,4.36,4.41,4.28,4.35,4.155081,920800
6/16/2016,4.33,4.34,4.24,4.24,4.048786,531200
6/17/2016,4.25,4.47,4.25,4.46,4.263765,664000
6/20/2016,4.52,4.65,4.51,4.6,4.395142,1632000
6/21/2016,4.6,4.72,4.58,4.71,4.500243,1861600
6/22/2016,4.7,4.79,4.69,4.69,4.484717,1518400
6/23/2016,4.69,4.74,4.64,4.74,4.53249,1630400
6/24/2016,4.63,4.67,4.53,4.63,4.419028,1100800
6/27/2016,4.63,4.67,4.4,4.62,4.417835,1800000
6/28/2016,4.71,4.75,4.7,4.75,4.538462,2441600
6/29/2016,4.76,4.8,4.73,4.78,4.56832,2198400
6/30/2016,4.79,4.83,4.77,4.81,4.598178,654400
7/1/2016,4.83,4.93,4.83,4.88,4.657895,2200800
7/4/2016,4.88,4.91,4.79,4.91,4.687753,996000
7/5/2016,4.83,4.92,4.83,4.89,4.67581,1191200
7/6/2016,4.9,4.92,4.86,4.88,4.657895,457600
7/7/2016,4.88,4.98,4.88,4.95,4.729555,416000
7/8/2016,4.95,5.31,4.94,5.23,4.992308,1209600
7/11/2016,5.29,5.33,5.14,5.21,4.973199,1817600
7/12/2016,5.23,5.23,5.11,5.23,4.992308,425600
7/13/2016,5.24,5.31,5.22,5.25,5.016195,529600
7/14/2016,5.31,5.36,5.25,5.33,5.093827,1211200
7/15/2016,5.36,5.36,5.28,5.32,5.083077,443200
7/18/2016,5.32,5.37,5.3,5.32,5.079494,803200
7/19/2016,5.35,5.45,5.32,5.38,5.135628,472800
7/20/2016,5.38,5.42,5.33,5.39,5.153543,788800
7/21/2016,5.37,5.43,5.36,5.38,5.135628,1316800
7/22/2016,5.41,5.44,5.36,5.38,5.139211,487200
7/25/2016,5.38,5.7,5.38,5.65,5.395992,924800
7/26/2016,5.65,5.69,5.6,5.66,5.411519,1040000
7/27/2016,5.64,5.66,5.58,5.63,5.379272,1093600
7/28/2016,5.6,5.6,5.51,5.51,5.262228,816800
7/29/2016,5.5,5.75,5.5,5.75,5.493927,1992000
8/1/2016,5.77,5.83,5.69,5.75,5.493927,932000
8/2/2016,5.75,5.76,5.38,5.48,5.237146,2628800
8/3/2016,5.53,5.69,5.52,5.55,5.302835,3461600
8/4/2016,5.75,6.26,5.73,6.25,5.97166,5785600
8/5/2016,6.5,6.68,6.33,6.63,6.32996,2024800
8/8/2016,6.68,6.75,6.57,6.63,6.335931,1392000
8/9/2016,6.69,7.06,6.69,7.06,6.747976,2606400
8/10/2016,7.05,7.28,7.05,7.28,6.951013,1854400
8/11/2016,7.31,7.38,6.94,7.38,7.046559,2034400
8/12/2016,7.37,7.5,7.31,7.5,7.162409,701600
8/15/2016,7.5,7.56,7.31,7.43,7.100304,1282400
8/16/2016,7.43,7.81,7.43,7.77,7.421579,2774400
8/17/2016,7.78,7.92,7.64,7.9,7.548179,1026400
8/18/2016,7.89,7.93,7.73,7.73,7.380972,937600
8/19/2016,7.8,7.82,7.64,7.66,7.321255,519200
8/22/2016,7.66,7.83,7.55,7.73,7.380972,1708800
8/23/2016,7.7,7.89,7.7,7.86,7.512349,1321600
8/24/2016,7.87,7.95,7.77,7.86,7.512349,1380800
8/25/2016,7.79,7.85,7.72,7.72,7.376195,243200
8/26/2016,7.71,7.86,7.58,7.76,7.414413,1386400
8/29/2016,7.72,7.86,7.63,7.86,7.512349,795200
8/30/2016,7.82,7.84,7.63,7.63,7.291397,1679200
8/31/2016,7.65,7.68,7.48,7.56,7.225709,804800
9/1/2016,7.56,7.97,7.52,7.91,7.555344,2784800
9/2/2016,7.94,8.22,7.88,8.22,7.852734,3041600
9/5/2016,8.25,8.31,8.25,8.25,7.880203,340800
9/6/2016,8.25,8.26,8.16,8.26,7.894535,322400
9/8/2016,8.21,8.33,8.13,8.24,7.870648,848000
9/9/2016,8.23,8.28,8.09,8.24,7.869454,1451200
9/12/2016,8.17,8.26,8.03,8.21,7.846762,722400
9/13/2016,8.19,8.21,7.63,7.75,7.404859,1214400
9/14/2016,7.83,7.83,7.65,7.7,7.353502,1152000
9/15/2016,7.71,7.84,7.68,7.76,7.412025,544800
9/16/2016,7.73,7.9,7.4,7.81,7.464575,915200
9/19/2016,7.86,8.08,7.83,8.03,7.667612,1146400
9/20/2016,8,8.22,7.92,8.18,7.810932,880000
9/21/2016,8.18,8.74,8.18,8.71,8.325689,2216800
9/22/2016,8.75,8.93,8.55,8.8,8.411681,1295200
9/23/2016,8.86,8.91,8.7,8.7,8.313745,633600
9/26/2016,8.73,8.89,8.73,8.89,8.495284,828800
9/27/2016,8.94,9.3,8.9,9.29,8.873888,1632000
9/28/2016,9.34,9.44,9.18,9.38,8.95749,978400
9/29/2016,9.27,9.46,9.24,9.39,8.974211,500800
9/30/2016,9.42,9.56,9.26,9.56,9.136641,1966400
10/3/2016,9.63,9.85,9.53,9.73,9.293097,914400
10/4/2016,9.73,9.89,9.68,9.88,9.435223,696000
10/5/2016,9.87,10.12,9.84,10.12,9.668071,996800
10/6/2016,10.08,10.34,10.08,10.34,9.883145,516800
10/7/2016,10.36,10.63,10.36,10.63,10.151822,1572800
10/10/2016,10.69,11.31,10.69,11.31,10.808705,1416800
10/11/2016,11.54,11.67,10.88,11.3,10.793226,1985600
10/13/2016,11.28,11.35,10.88,11.06,10.569839,1308800
10/14/2016,11.21,11.44,11.06,11.37,10.866034,965600
10/17/2016,11.44,11.51,11.22,11.25,10.748988,491200
10/18/2016,11.22,11.41,11.06,11.38,10.868422,1392000
10/19/2016,11.32,11.5,11.27,11.5,10.986613,522400
10/20/2016,11.48,11.53,11.23,11.5,10.987855,890400
10/21/2016,11.4,11.64,11.36,11.63,11.109676,825600
10/24/2016,11.63,12.36,11.59,12.28,11.73073,746400
10/25/2016,12.28,12.53,10.38,10.38,9.912956,2471200
10/26/2016,10.31,10.31,8.39,8.69,8.300608,3667200
10/27/2016,9.25,11.46,9.13,11.37,10.867179,3976800
10/28/2016,11.37,11.69,10.44,10.87,10.389447,2241600
10/31/2016,11.88,12.1,11.18,11.56,11.042794,2350400
11/1/2016,11.56,11.69,11.28,11.51,10.999798,1991200
11/3/2016,11.49,11.63,11,11.5,10.987855,1179200
11/4/2016,11.45,11.62,11.28,11.6,11.084548,827200
11/7/2016,11.6,11.85,11.51,11.75,11.226722,688000
11/8/2016,11.63,11.87,11.38,11.86,11.335454,676000
11/9/2016,11.25,12.25,11.19,12.25,11.703213,1461600
11/10/2016,12.25,12.37,11.43,11.85,11.325899,1082400
11/11/2016,11.69,12.11,11.43,11.84,11.313955,741600
11/14/2016,12,12,11.51,11.51,10.999798,450400
11/16/2016,11.61,11.87,11.41,11.45,10.941323,620000
11/17/2016,11.5,11.66,11.29,11.47,10.959191,631200
